timestamp,temperature,humidity
2024-08-30T04:40:33,12.46,100.0
2024-08-30T04:43:04,12.47,100.0
2024-08-30T04:45:36,12.52,100.0
2024-08-30T04:48:08,12.57,100.0
2024-08-30T04:50:40,12.6,100.0
2024-08-30T04:53:12,12.63,100.0
2024-08-30T04:55:43,12.62,100.0
2024-08-30T04:58:15,12.63,100.0
2024-08-30T05:00:47,12.69,100.0
2024-08-30T05:03:19,12.67,100.0
2024-08-30T05:05:51,12.69,100.0
2024-08-30T05:08:23,12.76,100.0
2024-08-30T05:10:54,12.67,100.0
2024-08-30T05:13:27,12.66,100.0
2024-08-30T05:15:58,12.65,100.0
2024-08-30T05:18:30,12.66,100.0
2024-08-30T05:21:02,12.67,100.0
2024-08-30T05:23:34,12.65,100.0
2024-08-30T05:26:06,12.68,100.0
2024-08-30T05:28:38,12.71,100.0
2024-08-30T05:31:10,12.8,100.0
2024-08-30T05:33:41,12.76,100.0
2024-08-30T05:36:13,12.71,100.0
2024-08-30T05:38:45,12.67,100.0
2024-08-30T05:41:17,12.66,100.0
2024-08-30T05:43:49,12.64,100.0
2024-08-30T05:46:21,12.6,100.0
2024-08-30T05:48:52,12.66,100.0
2024-08-30T05:51:24,12.58,100.0
2024-08-30T05:53:56,12.57,100.0
2024-08-30T05:56:28,12.55,100.0
2024-08-30T05:58:59,12.54,100.0
2024-08-30T06:01:31,12.56,100.0
2024-08-30T06:04:03,12.55,100.0
2024-08-30T06:06:35,12.56,100.0
2024-08-30T06:09:07,12.57,100.0
2024-08-30T06:11:38,12.54,100.0
2024-08-30T06:14:10,12.51,100.0
2024-08-30T06:16:42,12.57,100.0
2024-08-30T06:19:13,12.6,100.0
2024-08-30T06:21:45,12.66,100.0
2024-08-30T06:24:17,12.63,100.0
2024-08-30T06:26:49,12.59,100.0
2024-08-30T06:29:20,12.64,100.0
2024-08-30T06:31:52,12.65,100.0
2024-08-30T06:34:24,12.72,100.0
2024-08-30T06:36:56,12.75,100.0
2024-08-30T06:39:27,12.77,100.0
2024-08-30T06:41:59,12.8,100.0
2024-08-30T06:44:31,12.83,100.0
2024-08-30T06:47:03,12.82,100.0
2024-08-30T06:49:35,12.95,100.0
2024-08-30T06:52:07,12.99,100.0
2024-08-30T06:54:39,12.98,100.0
2024-08-30T06:57:10,13.02,100.0
2024-08-30T06:59:43,13.05,100.0
2024-08-30T07:02:15,13.11,100.0
2024-08-30T07:04:47,13.19,100.0
2024-08-30T07:07:19,13.24,100.0
2024-08-30T07:09:50,13.24,100.0
2024-08-30T07:12:22,13.3,100.0
